ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
P01m	3.0	Fixation	117	662.0	761.0	http://www.fiit.stuba.sk/
P01m	4.0	Fixation	200	757.0	406.0	http://www.fiit.stuba.sk/
P01m	5.0	Fixation	135	973.0	404.0	http://www.fiit.stuba.sk/
P01m	6.0	Fixation	117	718.0	190.0	http://www.fiit.stuba.sk/
P01m	7.0	Fixation	300	908.0	260.0	http://www.fiit.stuba.sk/
P01m	8.0	Fixation	233	954.0	267.0	http://www.fiit.stuba.sk/
P01m	9.0	Fixation	300	1055.0	252.0	http://www.fiit.stuba.sk/
P01m	10.0	Fixation	217	934.0	286.0	http://www.fiit.stuba.sk/
P01m	11.0	Fixation	233	866.0	266.0	http://www.fiit.stuba.sk/
P01m	12.0	Fixation	250	855.0	116.0	http://www.fiit.stuba.sk/
P01m	13.0	Fixation	183	732.0	641.0	http://www.fiit.stuba.sk/
P01m	15.0	Fixation	200	608.0	94.0	http://www.fiit.stuba.sk/
P01m	41.0	Fixation	133	1050.0	262.0	http://www.fiit.stuba.sk/
P01m	46.0	Fixation	183	998.0	322.0	http://www.fiit.stuba.sk/
P01m	47.0	Fixation	183	781.0	146.0	http://www.fiit.stuba.sk/
P01m	48.0	Fixation	200	736.0	137.0	http://www.fiit.stuba.sk/
P01m	49.0	Fixation	150	884.0	45.0	http://www.fiit.stuba.sk/
P01m	52.0	Fixation	183	727.0	97.0	http://www.fiit.stuba.sk/
P01m	53.0	Fixation	117	820.0	106.0	http://www.fiit.stuba.sk/
P01m	54.0	Fixation	150	847.0	97.0	http://www.fiit.stuba.sk/
P01m	55.0	Fixation	283	755.0	112.0	http://www.fiit.stuba.sk/
P01m	56.0	Fixation	200	733.0	147.0	http://www.fiit.stuba.sk/
P01m	57.0	Fixation	350	800.0	147.0	http://www.fiit.stuba.sk/
P01m	58.0	Fixation	150	762.0	148.0	http://www.fiit.stuba.sk/
P01m	59.0	Fixation	183	782.0	146.0	http://www.fiit.stuba.sk/
P01m	60.0	Fixation	250	721.0	134.0	http://www.fiit.stuba.sk/
P01m	62.0	Fixation	117	799.0	141.0	http://www.fiit.stuba.sk/
P01m	63.0	Fixation	183	783.0	139.0	http://www.fiit.stuba.sk/
P01m	64.0	Fixation	133	516.0	140.0	http://www.fiit.stuba.sk/
P01m	65.0	Fixation	183	425.0	137.0	http://www.fiit.stuba.sk/
P01m	66.0	Fixation	483	405.0	124.0	http://www.fiit.stuba.sk/
P01m	67.0	Fixation	183	479.0	128.0	http://www.fiit.stuba.sk/
P01m	69.0	Fixation	133	557.0	140.0	http://www.fiit.stuba.sk/
P01m	70.0	Fixation	183	425.0	82.0	http://www.fiit.stuba.sk/
P01m	71.0	Fixation	150	499.0	101.0	http://www.fiit.stuba.sk/
P01m	72.0	Fixation	183	466.0	93.0	http://www.fiit.stuba.sk/
P01m	73.0	Fixation	167	488.0	94.0	http://www.fiit.stuba.sk/
P01m	74.0	Fixation	250	406.0	88.0	http://www.fiit.stuba.sk/
P01m	76.0	Fixation	217	405.0	160.0	http://www.fiit.stuba.sk/
P01m	77.0	Fixation	300	470.0	166.0	http://www.fiit.stuba.sk/
P01m	78.0	Fixation	200	403.0	173.0	http://www.fiit.stuba.sk/
P01m	79.0	Fixation	333	458.0	169.0	http://www.fiit.stuba.sk/
P01m	81.0	Fixation	200	479.0	169.0	http://www.fiit.stuba.sk/
P01m	82.0	Fixation	333	567.0	173.0	http://www.fiit.stuba.sk/
P01m	83.0	Fixation	183	444.0	174.0	http://www.fiit.stuba.sk/
